ts,ad_id,model_key,price,condition,extras,location,title
2026-09-13T14:41:19+00:00,3511831334,switch_oled,229,neu,0,42107 Elberfeld,Nintendo Switch OLED  + Tasche + Ovp
2026-09-13T14:41:21+00:00,3511834702,xbox_series_s,249,gebraucht,0,90439 Großreuth b Schweinau,Xbox Series S 512GB + Controller + komplettes Zubehör
2026-09-13T14:41:21+00:00,3511829804,xbox_series_x,490,neu,1,45478 Mülheim (Ruhr),Xbox Series X 1 TB inkl. 2 Controller & OVP
2026-09-13T14:44:28+00:00,3511842245,ps5_pro,810,neu,0,29525 Uelzen,PlayStation 5 Pro 2TB Konsole mit Controller & OVP
2026-09-13T14:44:28+00:00,3511843505,ps5_disc,500,gebraucht,1,14943 Luckenwalde,Playstation 5
2026-09-13T14:44:28+00:00,3511842677,ps5_disc,360,gebraucht,0,47799 Krefeld,PlayStation 5 mit Laufwerk ‼️
2026-09-13T14:44:28+00:00,3511839802,ps5_disc,350,neu,0,16792 Zehdenick,ps5 Konsolen
2026-09-13T14:44:30+00:00,3511845470,switch_lite,100,gebraucht,0,06463 Ermsleben,Nintendo switch lite
2026-09-13T14:44:30+00:00,3511843445,switch_oled,370,neu,0,40223 Flehe,Nintendo Switch OLED und Pro Controller Zelda Edition OVP + Case
2026-09-13T14:44:30+00:00,3511839710,switch,150,gebraucht,0,39112 Magdeburg,Nintendo Switch
2026-09-13T14:47:38+00:00,3511846239,ps5_pro,740,neu,0,22529 Hamburg Lokstedt,PlayStation 5 pro neu
2026-09-13T14:47:41+00:00,3511847557,switch,220,gebraucht,0,85051 Ingolstadt,Nintendo Switch Diablo III Limited Edition Konsole
2026-09-13T14:50:51+00:00,3511857116,ps5_slim,499,gebraucht,0,64347 Griesheim,PlayStation 5 Slim Disc Console 1TB Ghost of Yotei Gold Edition
2026-09-13T14:50:51+00:00,3511855790,ps5_digital,429,gebraucht,0,39576 Stendal,PlayStation 5 Digital Version / inkl. Controller und Kabel
2026-09-13T14:50:51+00:00,3511852339,ps5_slim,650,gebraucht,0,34292 Ahnatal,"PS5 Slim Konsole mit Laufwerk, Headset, Controller & Spiel"
2026-09-13T14:51:01+00:00,3511857032,switch,150,gebraucht,0,51381 Leverkusen,Nintendo Switch Konsole
